date,2020,2021,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
02-20,62.9,15.2,40.3,,15.2,20.2,30.3,49.3,58.4,62.9,40.3
02-21,63.0,15.1,40.4,,15.1,20.2,30.3,49.4,58.5,63.0,40.4
02-22,63.1,14.9,40.4,,14.9,20.0,30.2,49.5,58.6,63.1,40.4
02-23,63.0,15.3,40.9,,15.3,20.4,30.6,49.7,58.5,63.0,40.9
02-24,63.0,15.3,40.9,,15.3,20.4,30.7,49.7,58.5,63.0,40.9
02-25,63.1,15.3,41.0,,15.3,20.5,30.8,49.9,58.7,63.1,41.0
02-26,63.1,15.3,41.1,,15.3,20.5,30.8,49.9,58.7,63.1,41.1
02-27,62.9,15.4,41.0,,15.4,20.5,30.8,49.8,58.5,62.9,41.0
02-28,62.9,15.4,41.0,,15.4,20.5,30.8,49.8,58.5,62.9,41.0
02-29,63.0,,,,15.4,20.5,30.8,49.8,58.5,62.9,41.0
03-01,62.9,15.2,41.6,,15.2,20.5,31.0,50.1,58.7,62.9,41.6
03-02,63.0,15.4,41.4,,15.4,20.6,31.0,50.1,58.7,63.0,41.4
03-03,63.1,15.4,41.6,,15.4,20.7,31.1,50.2,58.8,63.1,41.6
03-04,63.1,15.3,41.3,,15.3,20.5,30.9,50.0,58.8,63.1,41.3
03-05,63.1,15.5,41.6,,15.5,20.7,31.2,50.2,58.8,63.1,41.6
03-06,63.0,15.6,42.0,,15.6,20.8,31.4,50.4,58.8,63.0,42.0
03-07,63.2,15.1,42.0,,15.1,20.5,31.2,50.5,59.0,63.2,42.0
03-08,63.0,16.3,41.9,,16.3,21.4,31.7,50.4,58.8,63.0,41.9
03-09,62.9,15.7,42.1,,15.7,20.9,31.5,50.4,58.8,62.9,42.1
03-10,63.3,15.4,42.4,,15.4,20.8,31.6,50.8,59.1,63.3,42.4
03-11,63.4,15.5,42.7,,15.5,20.9,31.8,51.0,59.3,63.4,42.7
03-12,63.3,15.5,42.7,,15.5,21.0,31.8,50.9,59.1,63.3,42.7
03-13,63.3,15.3,43.2,,15.3,20.9,32.0,51.3,59.3,63.3,43.2
03-14,64.0,15.3,43.6,,15.3,21.0,32.3,51.8,59.9,64.0,43.6
03-15,64.3,15.5,44.4,,15.5,21.3,32.8,52.4,60.3,64.3,44.4
03-16,64.5,15.7,45.0,,15.7,21.6,33.3,52.8,60.6,64.5,45.0
03-17,65.4,15.6,45.2,,15.6,21.5,33.4,53.3,61.3,65.4,45.2
03-18,66.1,15.4,45.8,,15.4,21.5,33.6,53.9,62.1,66.1,45.8
03-19,66.9,15.5,46.0,,15.5,21.6,33.8,54.4,62.7,66.9,46.0
03-20,67.1,15.6,46.6,,15.6,21.8,34.2,54.8,63.0,67.1,46.6
03-21,67.4,15.6,46.9,,15.6,21.9,34.4,55.1,63.3,67.4,46.9
03-22,67.2,15.9,47.3,,15.9,22.2,34.7,55.3,63.3,67.2,47.3
03-23,67.4,15.6,47.5,,15.6,22.0,34.8,55.5,63.4,67.4,47.5
03-24,67.2,15.7,47.9,,15.7,22.1,35.0,55.6,63.4,67.2,47.9
03-25,67.2,15.7,48.0,,15.7,22.1,35.1,55.7,63.3,67.2,48.0
03-26,67.3,15.8,47.9,,15.8,22.2,35.1,55.7,63.5,67.3,47.9
03-27,67.2,15.6,48.5,,15.6,22.2,35.4,56.0,63.4,67.2,48.5
03-28,67.6,15.7,48.6,,15.7,22.3,35.4,56.2,63.8,67.6,48.6
03-29,67.1,15.5,48.6,,15.5,22.2,35.4,56.0,63.4,67.1,48.6
03-30,67.4,15.4,48.8,,15.4,22.1,35.4,56.2,63.7,67.4,48.8
03-31,67.3,15.7,49.2,,15.7,22.4,35.8,56.4,63.7,67.3,49.2
04-01,67.2,15.6,49.1,,15.6,22.3,35.7,56.3,63.6,67.2,49.1
04-02,71.8,15.7,49.4,,15.7,22.4,35.9,58.3,67.3,71.8,49.4
04-03,74.5,16.2,49.6,,16.2,22.9,36.2,59.5,69.5,74.5,49.6
04-04,73.8,16.1,49.7,,16.1,22.8,36.3,59.4,69.0,73.8,49.7
04-05,73.7,16.0,49.7,,16.0,22.7,36.2,59.3,68.9,73.7,49.7
04-06,73.6,19.2,49.9,,19.2,25.3,37.6,59.4,68.9,73.6,49.9
04-07,73.0,21.8,50.4,,21.8,27.5,39.0,59.5,68.5,73.0,50.4
04-08,73.3,25.5,50.3,,25.5,30.5,40.4,59.5,68.7,73.3,50.3
